tijdstip;locatie;component;waarde;LKI,
2018-08-01 02:00:00+02:00;Amsterdam-Vondelpark;PM25;5,3;1
2018-08-01 02:00:00+02:00;Amsterdam-Vondelpark;O3;32,4;3
2018-08-01 02:00:00+02:00;Amsterdam-Vondelpark;FN;0,81;1
2018-08-01 02:00:00+02:00;Amsterdam-Vondelpark;NO;1,0;1
2018-08-01 02:00:00+02:00;Amsterdam-Vondelpark;NO2;24,5;3
2018-08-01 02:00:00+02:00;Amsterdam-Vondelpark;PM10;17,2;2
2018-08-01 02:00:00+02:00;Amsterdam-Vondelpark;CO;297,0;2
2018-08-01 03:00:00+02:00;Amsterdam-Vondelpark;PM25;7,2;1
2018-08-01 03:00:00+02:00;Amsterdam-Vondelpark;NO;1,2;1
2018-08-01 03:00:00+02:00;Amsterdam-Vondelpark;CO;330,8;2
2018-08-01 03:00:00+02:00;Amsterdam-Vondelpark;O3;20,0;2
2018-08-01 03:00:00+02:00;Amsterdam-Vondelpark;NO2;28,1;3
2018-08-01 03:00:00+02:00;Amsterdam-Vondelpark;FN;1,0;2
2018-08-01 03:00:00+02:00;Amsterdam-Vondelpark;PM10;15,8;2
2018-08-01 04:00:00+02:00;Amsterdam-Vondelpark;CO;350,2;2
2018-08-01 04:00:00+02:00;Amsterdam-Vondelpark;NO;1,4;1
2018-08-01 04:00:00+02:00;Amsterdam-Vondelpark;O3;12,9;1
2018-08-01 04:00:00+02:00;Amsterdam-Vondelpark;FN;1,17;2
2018-08-01 04:00:00+02:00;Amsterdam-Vondelpark;PM10;13,5;2
2018-08-01 04:00:00+02:00;Amsterdam-Vondelpark;PM25;6,3;1
2018-08-01 04:00:00+02:00;Amsterdam-Vondelpark;NO2;31,0;4
2018-08-01 05:00:00+02:00;Amsterdam-Vondelpark;CO;334,3;2
2018-08-01 05:00:00+02:00;Amsterdam-Vondelpark;PM10;10,4;2
2018-08-01 05:00:00+02:00;Amsterdam-Vondelpark;O3;9,4;1
2018-08-01 05:00:00+02:00;Amsterdam-Vondelpark;NO;1,5;1
2018-08-01 05:00:00+02:00;Amsterdam-Vondelpark;PM25;8,0;1
2018-08-01 05:00:00+02:00;Amsterdam-Vondelpark;NO2;29,4;3
2018-08-01 05:00:00+02:00;Amsterdam-Vondelpark;FN;1,18;2
2018-08-01 06:00:00+02:00;Amsterdam-Vondelpark;FN;1,2;2
2018-08-01 06:00:00+02:00;Amsterdam-Vondelpark;CO;309,7;2
2018-08-01 06:00:00+02:00;Amsterdam-Vondelpark;NO;1,6;1
2018-08-01 06:00:00+02:00;Amsterdam-Vondelpark;O3;9,3;1
2018-08-01 06:00:00+02:00;Amsterdam-Vondelpark;PM10;8,9;1
2018-08-01 06:00:00+02:00;Amsterdam-Vondelpark;PM25;9,5;1
2018-08-01 06:00:00+02:00;Amsterdam-Vondelpark;NO2;28,0;3
2018-08-01 07:00:00+02:00;Amsterdam-Vondelpark;NO;1,3;1
2018-08-01 07:00:00+02:00;Amsterdam-Vondelpark;O3;15,6;2
2018-08-01 07:00:00+02:00;Amsterdam-Vondelpark;FN;1,07;2
2018-08-01 07:00:00+02:00;Amsterdam-Vondelpark;PM10;22,5;3
2018-08-01 07:00:00+02:00;Amsterdam-Vondelpark;PM25;8,4;1
2018-08-01 07:00:00+02:00;Amsterdam-Vondelpark;NO2;23,8;3
2018-08-01 07:00:00+02:00;Amsterdam-Vondelpark;CO;286,3;2
2018-08-01 08:00:00+02:00;Amsterdam-Vondelpark;O3;19,8;2
2018-08-01 08:00:00+02:00;Amsterdam-Vondelpark;FN;1,13;2
2018-08-01 08:00:00+02:00;Amsterdam-Vondelpark;PM10;18,2;2
2018-08-01 08:00:00+02:00;Amsterdam-Vondelpark;NO2;35,0;4
2018-08-01 08:00:00+02:00;Amsterdam-Vondelpark;PM25;8,2;1
2018-08-01 08:00:00+02:00;Amsterdam-Vondelpark;CO;274,6;2
2018-08-01 08:00:00+02:00;Amsterdam-Vondelpark;NO;4,4;1
2018-08-01 09:00:00+02:00;Amsterdam-Vondelpark;FN;0,85;1
2018-08-01 09:00:00+02:00;Amsterdam-Vondelpark;PM10;14,2;2
2018-08-01 09:00:00+02:00;Amsterdam-Vondelpark;PM25;6,5;1
2018-08-01 09:00:00+02:00;Amsterdam-Vondelpark;NO2;33,6;4
2018-08-01 09:00:00+02:00;Amsterdam-Vondelpark;CO;261,3;2
2018-08-01 09:00:00+02:00;Amsterdam-Vondelpark;NO;4,0;1
2018-08-01 09:00:00+02:00;Amsterdam-Vondelpark;O3;36,1;3
2018-08-01 10:00:00+02:00;Amsterdam-Vondelpark;PM10;19,1;2
2018-08-01 10:00:00+02:00;Amsterdam-Vondelpark;FN;0,57;1
2018-08-01 10:00:00+02:00;Amsterdam-Vondelpark;NO2;25,5;3
